structure_group_id_v1,structure_group_size,molecule_ids_numeric_sorted,unique_donor_ids,donor_ids_numeric_sorted,unique_acceptor_ids,acceptor_ids_numeric_sorted,unique_donor_structures,unique_acceptor_structures,unique_role_aware_groups,role_annotation_consistent,atom_count_consistent,sidecar_atom_origin_consistent,dft_pdb_json_geometry_consistent,d81_a28_conflict_in_group,geometry_reference_id,geometry_resolved_comparisons,geometry_unresolved_comparisons,geometry_mapping_methods,heavy_atom_rmsd_min_angstrom,heavy_atom_rmsd_max_angstrom,geometry_unresolved_reasons,primary_range_eV,meaningful_target_disagreement_count,representative_eligible_under_strict_rule
7c487cddbbef0b8dc40dec47869a0513de3d6405fbd23a448931b601c981e94a,2,D1_A274;D1_A277,1,D1,2,A274;A277,1,1,1,True,True,True,True,False,D1_A274,1,0,RESOLVED_INDEX_GRAPH,0.00424081026341993,0.00424081026341993,,0.006160857142857079,12,False
7da91ebf537690cc072cb5582a2b16ea48f7d572e2f01a28f8fe8fea222ce4a4,2,D125_A13;D125_A14,1,D125,2,A13;A14,1,1,1,True,True,True,True,False,D125_A13,1,0,RESOLVED_INDEX_GRAPH,0.12695597329404995,0.12695597329404995,,0.008701428571428638,19,False
7e6199fcbe8ba5fe52e0bd9329deb5267b139a810a2aa50a448ad333ab6d2e80,2,D121_A13;D121_A14,1,D121,2,A13;A14,1,1,1,True,True,True,True,False,D121_A13,1,0,RESOLVED_INDEX_GRAPH,0.00042553036694112253,0.00042553036694112253,,2.2000000000077513e-05,2,False
7f35698997e9a6a77f79543dd6822140014f32047e8b75cbf4895a7da83c00d7,2,D170_A274;D170_A277,1,D170,2,A274;A277,1,1,1,True,True,True,True,False,D170_A274,1,0,RESOLVED_INDEX_GRAPH,8.465256606151771e-06,8.465256606151771e-06,,4.857142857028762e-06,1,False
7f66a7ca0c87e796470f62a281d8bda035ae5cbc47bbb6fd48bc812676a439a5,2,D37_A23;D37_A30,1,D37,2,A23;A30,1,2,2,False,True,True,True,False,D37_A23,1,0,RESOLVED_INDEX_GRAPH,0.0020998132979600076,0.0020998132979600076,,0.0011280000000000179,12,False
7f66c84c8b71378d3d4a5bcb46fb4db74f816a9fd3448af3d5e3b94038b7ec7e,2,D70_A23;D70_A30,1,D70,2,A23;A30,1,2,2,False,True,True,True,False,D70_A23,1,0,RESOLVED_INDEX_GRAPH,0.0033899943573151214,0.0033899943573151214,,0.004692857142857276,13,False
80fb5101b2a598f715094d84747ca45f0fe6f21e708bb2f92741995cb6b1517d,2,D41_A26;D42_A26,2,D41;D42,1,A26,1,1,1,True,True,True,True,False,D41_A26,1,0,RESOLVED_INDEX_GRAPH,0.0005230280414506833,0.0005230280414506833,,0.00011685714285702975,8,False
81aaa7e6aea51aab74c12eae229d60a323a016e29552679de426c26e8c02e2de,2,D75_A182;D75_A187,1,D75,2,A182;A187,1,2,2,False,True,True,True,False,D75_A182,1,0,RESOLVED_INDEX_GRAPH,0.0005558908202416547,0.0005558908202416547,,0.00016371428571426705,12,False
838b1c24f5dd4f5ff3fb9c72eb7e965320e9381aee26b03a096b27235e578843,2,D47_A274;D47_A277,1,D47,2,A274;A277,1,1,1,True,True,True,True,False,D47_A274,1,0,RESOLVED_INDEX_GRAPH,0.7656534292593568,0.7656534292593568,,0.10431371428571429,20,False
844777951c8b5e19de77e5651138ba13cf8e3025a7f4a5c8d3634332f0469193,2,D41_A39;D42_A39,2,D41;D42,1,A39,1,1,1,True,True,True,True,False,D41_A39,1,0,RESOLVED_INDEX_GRAPH,3.0072312636287625e-06,3.0072312636287625e-06,,4.000000000115023e-06,0,True
8451d5745d4b784218c0b3901ba702532d8218201160a0f853e33beca417827e,2,D41_A329;D42_A329,2,D41;D42,1,A329,1,1,1,True,True,True,True,False,D41_A329,1,0,RESOLVED_INDEX_GRAPH,0.008539776605379312,0.008539776605379312,,0.0005631428571428176,16,False
