sid,true_eb_eV,pred_eb_eV,target_seed42,b21_seed42_pred_eV,target_seed123,b21_seed123_pred_eV,target_seed456,b21_seed456_pred_eV,b21_three_seed_ensemble_pred_eV,cheap_abs_error_eV,b21_ensemble_abs_error_eV,abs_error_delta_cheap_minus_b21_ensemble_eV
D-22_A-76,0.7690870714930356,0.6619834,0.7690871,0.63199043,0.7690871,0.7234963,0.7690871,0.6622045,0.6725637433333334,0.10710367149303557,0.09652332815970222,0.010580343333333353
D-129_A-367,0.6870019812115667,0.6243033,0.687002,0.6036639,0.687002,0.63131416,0.687002,0.6315669,0.6221816533333334,0.06269868121156674,0.06482032787823333,-0.002121646666666588
D-29_A-200,1.0037580664784362,0.81276256,1.0037581,0.8959142,1.0037581,0.8005563,1.0037581,0.76247096,0.8196471533333334,0.19099550647843622,0.18411091314510286,0.006884593333333355
D-165_A-184,0.87312008845234,0.79561466,0.87312007,0.72075236,0.87312007,0.84321505,0.87312007,0.8021151,0.78869417,0.07750542845233999,0.08442591845234004,-0.006920490000000057
D-118_A-276,1.024298775753265,0.93459415,1.0242988,0.94276035,1.0242988,1.0257404,1.0242988,0.92452586,0.9643422033333334,0.08970462575326488,0.059956572419931464,0.029748053333333413
D-33_A-80,0.5724575944795264,0.6379572,0.5724576,0.5839405,0.5724576,0.5980791,0.5724576,0.60251236,0.5948439866666666,0.06549960552047362,0.022386392187140225,0.0431132133333334
D-24_A-338,1.1252530187258805,1.2362403,1.125253,1.0986389,1.125253,1.1076744,1.125253,1.1758806,1.1273979666666667,0.1109872812741195,0.002144947940786235,0.10884233333333326
D-118_A-8,1.128355116757923,1.083344,1.1283551,1.0148866,1.1283551,1.0100229,1.1283551,0.97598076,1.0002967533333333,0.04501111675792302,0.12805836342458976,-0.08304724666666674
D-24_A-3,1.071320051186332,1.118311,1.07132,1.0386574,1.07132,1.0633562,1.07132,1.0584675,1.0534937,0.046990948813668165,0.017826351186331912,0.029164597627336253
D-158_A-118,0.5967457003745169,0.63166904,0.5967457,0.61013633,0.5967457,0.64631677,0.5967457,0.63903975,0.63183095,0.03492333962548311,0.035085249625483095,-0.00016190999999998734
D-41_A-101,0.696627037260862,0.8055197,0.696627,0.6864213,0.696627,0.6598456,0.696627,0.721398,0.6892216333333333,0.108892662739138,0.007405403927528642,0.10148725881160936
D-118_A-245,1.0792891000155145,1.166145,1.0792891,1.0033255,1.0792891,0.81835365,1.0792891,0.92432785,0.9153356666666667,0.08685589998448551,0.16395343334884782,-0.07709753336436231
D-122_A-17,0.96436375387603,0.95232415,0.96436375,0.91796947,0.96436375,0.91567194,0.96436375,0.9091722,0.9142712033333332,0.01203960387602998,0.05009255054269679,-0.03805294666666681
D-118_A-111,0.6291505740525961,0.63354015,0.62915057,0.7896248,0.62915057,0.8199452,0.62915057,0.7460469,0.7852056333333334,0.0043895759474038565,0.15605505928073726,-0.1516654833333334
D-42_A-195,0.7176186780791954,0.7197325,0.7176187,0.67256665,0.7176187,0.7616798,0.7176187,0.76687825,0.7337082333333335,0.0021138219208045594,0.01608955525413802,-0.013975733333333462
